index,algorithmization,algo_profile
67,9,10
15,8,9
59,8,7
9,7,6
27,7,10
39,7,8
13,6,10
54,6,7
58,6,3
83,6,9
127,6,3
129,6,6
14,5,5
41,5,4
43,5,2
46,5,4
50,5,4
63,5,3
81,5,7
111,5,5
124,5,9
125,5,6
128,5,4
135,5,5
25,5,3
143,5,8
4,4,4
51,4,6
71,4,5
126,4,4
132,4,10
137,4,5
19,3,4
79,3,3
103,3,7
117,3,5
86,2,2
136,2,6
97,2,1
6,1,3
118,1,2
133,1,5
138,1,3
5,0,0
7,0,2
17,0,2
35,0,3
48,0,1
130,0,6
131,0,0
134,0,0
139,0,3
